"File","Category","SentType","AttackType","ExpectedLabel","StatusCode","Decision","Outcome"
"legit_photo.jpg","profile","image/jpeg","Benign image","Benign","200","ACCEPTED","TN"
"active.svg","profile","image/svg+xml","SVG-XSS","ShouldReject","200","ACCEPTED","FN"
"polyglot.png","profile","image/png","Polyglot","ShouldReject","200","ACCEPTED","FN"
"shell.php.jpg","profile","image/jpeg","Double extension","ShouldReject","200","ACCEPTED","FN"
"malware.png","profile","image/png","Malicious marker","ShouldReject","200","ACCEPTED","FN"
"large.jpg","profile","image/jpeg","Oversize","ShouldReject","422","REJECTED","TP"
"fake_image.jpg","profile","image/jpeg","Magic-byte mismatch","ShouldReject","200","ACCEPTED","FN"
"legit_document.pdf","id","application/pdf","Benign document","Benign","200","ACCEPTED","TN"
"legit_report.pdf","id","application/pdf","Benign document","Benign","200","ACCEPTED","TN"
"js_embedded.pdf","id","application/pdf","PDF-embedded JS","ShouldReject","200","ACCEPTED","FN"
"fake.pdf","id","application/pdf","Magic-byte mismatch","ShouldReject","200","ACCEPTED","FN"
"legit_photo.jpg","profile","application/pdf","Content-Type spoofing","ShouldReject","200","ACCEPTED","FN"
